Description,Institution,Job Category,Job Title,Location,URL
"American Express Card Members can contact us via different mediums - chat, email, voice call, or via walking into any of the contact centers. Our business area is in the realm of chat, where American Express offers Click-to-Chat as a medium of contact to all of its all customers. The online banking system is designed to address high-contact drivers, proactively assisting card members struggling to replace their cards or making payments online while reducing cost-to-service. It enables the card members to interact real time in their journey of choice increasing customer satisfaction.
 
 The Click-to-Chat process supports the card members, encompassing anyone who has an account domiciled in the US that provide services ranging from assisting card members making payments or trying to replace their cards.
 
Job Responsibilities:


Ability to comprehend and respond to all customer queries through chat with immediate resolution (real time) to ensure customer satisfaction. 

Deliver to the employees, customer and shareholder metrics as per goals. 

Adherence to quality and compliance guidelines 

Communicates effectively through written communication

Ability to recognize tone and mood of customer through chat conversations 

Adaptable and customer centric approach to situations to deliver superior service 

Personalization/ Empathy in communication 

Ability to address 2-3 conversations simultaneously 

Recognizes knowledge gaps and researches to respond              
What’s in it for you?


Attractive base pay

Highly competitive performance-based bonus

Health, dental, vision and life insurance

Free HMO coverage from day 1 for the employee and dependents. No maximum number of dependents. Employee may enroll as many as possible as their dependent so long as they're eligible.

Retirement Fund

Career development including trainings and career growth

Generous maternity/paternity paid leave

Private mother’s room

Onsite gym

Fitness studio

Fun karaoke room

On-site clinic
Offer of employment with American Express is conditioned upon the successful completion of a background verification check, subject to applicable laws and regulations.Qualifications

6 months to 2 years of chat experience in financial services / customer service

At least college-level education

Typing speed of at least 30 WPM with 90% accuracy

Quick Navigation Ability, Web Savvy, Basic Troubleshooting Knowledge 

Multitasking: Ability To Toggle Between Screens/Tools
If you are passionate about serving customers, results driven and interested in working for a world-class global brand, then World Service at American Express may be an ideal fit for you.
 
Apply Now! 
There are two ways to apply. They both go through the same process and include an online assessment. It’s up to you which one you choose. You can either apply online now or walk-in from Monday to Friday anytime from 9am-5pm at the following address:
 
American Express Recruitment Centre28F, Bonifacio One Technology Tower3030 Rizal Drive WestBonifacio Global City, TaguigMetro ManilaReqID: 18010789Schedule (Full-Time/Part-Time): Full-timeDate Posted: Jul 18, 2018, 3:24:52 AM",American Express,"
 Customer Care
, 
 Operations",Customer Care Professional  (Click to Chat Servicing) - American Express,"

Bonifacio Global City, Philippines",https://jobs.americanexpress.com/jobs/18010789?lang=en-us&previousLocale=en-US
"You won’t just shape the world of software.
You’ll shape the world of life, work and play.
 
Our Software Engineers not only understand how technology works, but how that technology intersects with the people who count on it every day. Today, innovative ideas, insight and new perspectives are at the core of how we create a more powerful, personal and fulfilling experience for all our customers. So if you’re interested in a career creating breakthrough software and making an impact on an audience of millions, look no further.
 
You won’t just keep up, you’ll break new ground. 
 
There are hundreds of opportunities to make your mark on technology and life at American Express. Here’s just some of what you’ll be doing:
 

Taking your place as a core member of an agile team driving the latest development practices
Writing code and unit tests, working with OFSAA
Identifying opportunities for adopting new technologies
Leading a team of engineers that delivers knowledge management solutions to businesses worldwideQualificationsAre you up for the challenge?
 

Preferably a BS or MS degree in computer science, computer engineering, or other technical discipline
7+ years of software development experience in OFSAA, reg reporting
Ability to effectively interpret technical and business objectives and challenges and articulate solutions
Willingness to learn new technologies and exploit them to their optimal potential
At the core of Software Engineering
 
Every member of our team must be able to demonstrate the following technical, functional, leadership and business core competencies, including:
 

Agile Practices
Porting/Software Configuration
Programming Languages and Frameworks
Business Analysis
Analytical Thinking
Business Product Knowledge
Why American Express 
 
Talk to our people and you’ll find out what we’re really all about. Open, creative, risk-taking, collaborative and innovative are just some of the expressions you’ll hear. It’s our culture that makes American Express an outstanding place to work, and a big part of why we regularly win best workplace awards all over the world. If you’re ready to take on a challenge and make an impact, you owe it to yourself to launch or grow your career here.
 

Employment eligibility to work with American Express in the U.S. is required as the company will not pursue visa sponsorship for these positions.

Why
American Express? There’s
a difference between having a job and making a difference. American
Express has been making a difference in people’s lives for over 160 years, backing
them in moments big and small, granting access, tools, and resources to take on
their biggest challenges and reap the greatest rewards. We’ve
also made a difference in the lives of our people, providing a culture of
learning and
collaboration, and helping them with what they need to succeed and thrive. We have
their backs as they grow their skills, conquer new challenges, or even take
time to spend
with their family or community. And when they’re ready to take on a new career path,
we’re right there with them, giving them the guidance and momentum into the best
future they envision. Because
we believe that the best way to back our customers is to back our people. The
powerful backing of American Express.Don’t
make a difference without it.
Don’t
live life without it.
ReqID: 18009339Schedule (Full-Time/Part-Time): Full-timeDate Posted: Jul 30, 2018, 5:36:25 PM",American Express,"
 Digital Commerce
, 
 Technology",Senior Engineer,"

Phoenix, Arizona",https://jobs.americanexpress.com/jobs/18009339?lang=en-us&previousLocale=en-US
"

American Express is a global service company, providing customers with exceptional access to products and experiences that enrich lives and build business success.


 
Each day, we make it easier, safer and more rewarding for consumers and businesses to purchase the things they need and for merchants to sell their goods and services, enabling them to do and achieve more.
 
We’re committed to becoming the world’s most respected service brand and daily deliver extraordinary service to our customers, constantly reinventing our ways of working to ensure we offer rich rewards that redefine expectations for our clients and ourselves.
 
If you are passionate about delivering extraordinary service, results driven and interested in working for a world-class global brand, then the position with American may be an ideal fit for you. 
 
In this role you will ensure extraordinary customer service by swiftly and accurately responding to phone calls from our customers, making it easy to do business with us, while solving customer issues and celebrating their value to us. The role also involves back office tasks such as mail correspondence and cases from our external and internal customers and customer facing service. This role is part of a multilingual team and with an array of varied tasks and responsibilities.
 
To complete your application please click on the links below. However, if you require any assistance with the completion of this process – or need any reasonable adjustments to be made – then please contact the Recruitment Team on recruitment.support.uk@aexp.com or 00800 83 000038 (for Russia based candidates 810 800 83 000038).
Qualifications

Do you have what takes to build a career here?



Customer service experience with exceptional listening and relationship building skills  
Ability to speak either German, Finnish, Dutch, Swedish or Norwegian.
Strong written and verbal communication in the languages as shown and English
Willingness to work shifts
Ability to work in a fast paced metric driven environment
Proficient at multitasking and navigation in a Windows environment
Our roles are across various departments within our EMEA Headquarters in Central Brighton, these teams include:
 
Fraud, Merchant Services, Corporate Servicing, Credit, Global New Accounts, Customer Fulfilment Network!
 
 
Why American Express?
Talk to our people and you’ll find out what we’re really all about. Open, creative, risk-taking, collaborative and innovative are just some of the expressions you’ll hear. It’s our culture that makes American Express an outstanding place to work, and a big part of why we regularly win best workplace awards all over the world. If you’re ready to take on a challenge and make an impact, you owe it to yourself to launch or grow your career here.
 
American Express is an equal opportunity employer and makes employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability status, or any other status protected by law.

We place great importance on doing what is right, what is best and what is innovative. And we continue seeking people to champion these values and beliefs as we grow. The world’s a big place, filled with big ideas and amazing people. And we want the best of them here at American Express. We’re interested in where you came from, but we’re even more excited about where you will go with American Express.
 
To complete your application please click on the links below. However, if you require any assistance with the completion of this process – or need any reasonable adjustments to be made – then please contact the Recruitment Team on recruitment.support.uk@aexp.com or 00800 83 000038 (for Russia based candidates 810 800 83 000038).
ReqID: 18001658Schedule (Full-Time/Part-Time): Full-timeDate Posted: May 21, 2018, 8:14:35 AM",American Express,"
 Customer Care
, 
 Operations","Customer Care Professionals, either German, Swedish, Finnish, Dutch or Norwegian speakers!","

Brighton, United Kingdom",https://jobs.americanexpress.com/jobs/18001658?lang=en-us&previousLocale=en-US
"You won’t just shape the world of payments.  You’ll shape the
world of life, work and play.
 
American Express is embarking on a journey to drive agile
marketing solutions and enabling innovative, high-quality marketing for the enterprise,
while also transforming end-to-end marketing processes and platforms. Today,
innovative ideas, insight and new perspectives are at the core of how we create
a more powerful, personal and fulfilling experience for all our
customers.  So if you’re interested in a career creating breakthrough
marketing and platforms while making an impact on an audience of millions, look
no further.
 
You won’t just keep up, you’ll break new ground.
 
There are hundreds of opportunities to make your mark on marketing
execution, technology, and life at American Express.  You’ll be challenged
everyday as we transform our organization to meet the customers of tomorrow as
part of Enterprise Marketing Platforms & Solutions (EMPS), a global
organization that sits within Enterprise Digital & Analytics (EDA).
 
Here’s just some of what you’ll be doing:
 
This position sits within the Enterprise Marketing Platforms
organization in Enterprise Marketing Platforms & Solutions (EMPS). 
The Enterprise Marketing Platforms team brings together all marketing execution
and workflow platforms into a single product team and is responsible for all
aspects of the product lifecycle in enabling end-to-end marketing execution
globally, innovating on behalf of our customers, and creating product
experiences that significantly improve colleague efficiencies and experiences,
as well as being the foundation of enabling competitively-differentiated,
customer-first marketing to our end customers. 
 
You’ll be part of the Marketingforce Platform team, whose mission
is to drive value by delivering reliable, flexible and scalable solutions that
improve speed to market, support growth, enable operational efficiencies, while
providing a best-in-class customer experience.  As an analyst for the Marketingforce
team, you will be joining a team of 3 Senior Product Managers, and will have
responsibility for a variety of critical functions including but not limited
to:   
 
Facilitation of the platform issues management process

Monitor
     and troubleshooting of new issues across the marketing ecosystem,
     specifically Marketingforce
Assessing
     priority and level of urgency and manage assignment of issues
Leading
     issue calls with stakeholder teams (Technologies, Product, Campaign
     Delivery, Marketing)
Tracking
     next steps, capturing roadblocks/dependencies and leading the escalation
     process based on urgency of the issue
Document
     and review standard operating procedures for issues and facilitate
     transition to Level 1 support team
Providing
     monthly leadership VP-level updates on the overall issue landscape

Product Development

Responsible
     for managing regular Platform activities including: Demos, Infoshares,
     Status meetings, Sandbox refresh and Release processes, etc
Work
     closely with the Managers on the team to create and execute on long-term
     strategic Roadmap
Partner
     with the Product Owner to translates product roadmap features ((tied to
     issues or other general business-generated items) into well-defined
     product requirements/user stories and acceptance test criteria
Manage
     admin data activities and related processes including documentation
Participate
     in testing and advance automated test coverage
Support
     release activities, including: tracking closure of high-priority defects,
     creating release documentation and post-install testing activities
Become
     a SME on development/ product best practices and success metrics
Define,
     measure and report on metrics related to product launch, process
     efficiency and performance

Oversight of the Marketingforce Wiki/Confluence page and Knowledge
articles

Working
     to define the overarching structure of our product wiki page, ensuring
     that there is a clear and defined structure for the content posted
Working
     across the stakeholder community to understand needs for the Wiki
Taking
     the lead on drafting content / training documentation for particular
     product items
QualificationsA successful candidate will have:

Bachelor’s
     in Computer Science or technical field or equivalent experience is a plus.
Minimum
     1 years’ experience working in an Agile environment;  Scaled Agile
     Framework and principles is a plus
Experience
     in, and passion for, one or more of the following areas: product,
     capabilities, business architecture/analysis, salesforce, marketing,
     technology development is highly desired
Strong
     communication and technical skills with the ability to quickly grasp
     technical issues/concepts
Strong
     problem solving, analytical and decision making skills
Strong
     relationship management skills, with a proven ability to communicate
     effectively across large, cross-functional teams and stakeholders
Experience
     with B2C Marketing or Card Marketing plus
Experience
     building Salesforce applications preferred.  Certifications (ADM 201,
     ADM 301, ADM 401) and experience with Service Cloud and Lightning UI a
     plus.

 
Employment eligibility to work with American Express in the U.S. is required as the company will not pursue visa sponsorship for this position. ReqID: 19002267Schedule (Full-Time/Part-Time): Full-timeDate Posted: Feb 7, 2019, 5:18:53 PM",American Express,"
 Digital Commerce
, 
 Marketing",Senior Product Analyst,"

New York, New York",https://jobs.americanexpress.com/jobs/19002267?lang=en-us&previousLocale=en-US
"
The
Instructional Designer is responsible for the design, development and quality
of effective learning materials for American Express Travel and Lifestyle
Services. They will partner with other learning professionals and Business Partners
in delivering globally consistent training that directly impacts the success of
American Express and our internal and external clients. The goal of all
programs is to deliver a world-class learning experience and drive positive
business results. 
 
The ability
to communicate effectively in visual, oral and written form (in both English
and Japanese) and deliver engaging presentations are critical skills for
success.  The ideal candidate will be experienced in
designing Instructor-led Training (ILT) materials, including PowerPoint
presentations, Facilitator and Participant Guides, and job
aids. E-learning design and development experience is also desirable.
 
Offer of
employment with American Express is conditioned upon the successful completion
of a background verification check, subject to applicable laws and regulations.Qualifications
Proven
     experience designing Instructor-led Training (ILT) materials
Proven
     experience using Microsoft Office products including Word, PowerPoint and
     Excel
Good
     understanding of adult learning theory and instructional design principles
Excellent
     verbal and written communication skills in both English and Japanese
Experience
     of designing new hire, product knowledge and software training preferred
Experience
     of using e-learning development tools (including Articulate Storyline and
     Captivate) desirable but not essential
Ability
     to work in a team environment 
3
     years of on-the-job experience in an Instructional Design role is
     preferred
This role may be subject to additional background verification checks.
ReqID: 18007318Schedule (Full-Time/Part-Time): Full-timeDate Posted: May 30, 2018, 2:46:22 AM",American Express,"
 Customer Care
, 
 Operations",Instructional Designer,"

To, Japan",https://jobs.americanexpress.com/jobs/18007318?lang=en-us&previousLocale=en-US
"Assist in the investigation of fraud and other criminal misconduct committed against American Express, its products, service, employees and facilities in Japan.  
 
Job responsibilities include but are not limited to:
 
Conduct complex internal and external investigations involving organized criminal groups and online (cyber) activities; collect intelligence on organized groups that commit financial crimes
 
Contribute to the development of investigative policies and procedures
 
Collect and compile documentary evidence; assist with forensic examinations.
 
Interview victims, claimants, witnesses, suspects and potential suspects
 
Network with local and national law enforcement agencies to investigate and prosecute crimes
 
Work with internal groups to reduce risk and exposure to fraud
 
Supervise direct reports and/or mentor less experienced investigators; oversee case assignments and entry into department database
 
Plan and monitor budget expenses
 
Support department activities in the areas of Crisis Management, Security Services, Executive Protection and other tasks as determine by the Director-Greater China and Japan
 
Work on site at Ogikubu/Tokyo. On call 24/7/365
 

Offer of employment with American Express is conditioned upon the successful completion of a background verification check, subject to applicable laws and regulations.

 QualificationsBachelor's Degree or other 4 year degree in criminal justice, investigations or business with emphasis on financial services,  professional certification or equivalent 
 
Long-term documented experience in law enforcement and/or corporate investigative work with emphasis on financial crimes
 
Highly developed investigative skills including experience with cyber crimes
 
Superior relationship management skills to develop and maintain productive contacts in the law enforcement and business communities
 
Strong leadership, time management, interpersonal and team work skills; superior computer skills
 
Must be able to read, write and converse in Japanese and English; good public speaker who is comfortable addressing diverse groupsReqID: 18004247Schedule (Full-Time/Part-Time): Full-timeDate Posted: Jul 4, 2018, 10:00:00 AM",American Express,"
 Operations
, 
 Risk Management",Manager-Investigations,"

To, Japan",https://jobs.americanexpress.com/jobs/18004247?lang=en-us&previousLocale=en-US
"You won’t just shape the world of software. You’ll shape the world of life, work and play.   Our Software Engineers not only understand how technology works, but how that technology intersects with the people who count on it every day. Today, innovative ideas, insight and new perspectives are at the core of how we create a more powerful, personal and fulfilling experience for all our customers. So if you’re interested in a career creating breakthrough software and making an impact on an audience of millions, look no further.   You won’t just keep up, you’ll break new ground.    There are hundreds of opportunities to make your mark on technology and life at American Express. Here’s just some of what you’ll be doing:  Taking your place as a core member of an agile team      driving the latest development practicesWriting code and unit tests, working with API specs and      automationIdentifying opportunities for adopting new technologiesLeading a team of engineers that delivers knowledge      management solutions to businesses worldwideWhy American ExpressThere’s a difference between having a job and making a difference.American Express has been making a difference in people’s lives for over 160 years, backing them in moments big and small, granting access, tools, and resources to take on their biggest challenges and reap the greatest rewards.We’ve also made a difference in the lives of our people, providing a culture of learning and collaboration, and helping them with what they need to succeed and thrive. We have their backs as they grow their skills, conquer new challenges, or even take time to spend with their family or community. And when they’re ready to take on a new career path, we’re right there with them, giving them the guidance and momentum into the best future they envision.Because we believe that the best way to back our customers ias to back our people.The powerful backing of American Express.Don’t make a difference without it.Don’t live life without it.Employment eligibility to work with American Express in the U.S. is required as the company will not pursue visa sponsorship for these positions. QualificationsAre you up for the challenge? 
Preferably a BS or MS degree in computer science,
     computer engineering, or other technical discipline3+ years of software development experience Hands-on expertise with application design and software
development in Big Data with Machine learning experience across one or more
platforms, languages, and toolsExperience in Java, Hive, Python, Spark, HBase, MapReduce, Big
Data Components/ Frameworks Hadoop, HDFS, Pig etc.Experience in REST API, Spring Boot, J2EE, Spring Boot,
Elasticsearch , Cloud native etc.Experience with distributed (multi-tiered) systems, and relational
databasesExperience with implementing integrated automated release
management using tools/technologies/frameworks like Maven, GIT, code/security
review toolsExperience with machine learning techniques and algorithm such as
Regression, Clustering, Random Forest, Time Series Forecasting, etc.Ability to effectively interpret technical and
     business objectives and challenges and articulate solutionsWillingness to learn new technologies and exploit them
     to their optimal potential
At the core of
Software Engineering Every member of
our team must be able to demonstrate the following technical, functional,
leadership and business core competencies, including: 
Agile Practices
Porting/Software Configuration
Programming Languages and Frameworks
Business Analysis
Analytical Thinking
Business Product Knowledge

ReqID: 19002191Schedule (Full-Time/Part-Time): Full-timeDate Posted: Feb 7, 2019, 3:42:41 PM",American Express,"
 Digital Commerce
, 
 Technology",Software Engineer - Machine Learning,"

Phoenix, Arizona",https://jobs.americanexpress.com/jobs/19002191?lang=en-us&previousLocale=en-US
"
¿Estás listo para liberar tu potencial?
              En
American Express tenemos una misión convertirnos en esenciales para nuestros
clientes al proporcionarles productos y servicios diferenciados para ayudarlos
a alcanzar sus metas. Esto significa ser más
que un vendedor, te convertirás en un asesor de confianza ofreciendo el mejor
producto de nuestra gama basado en las necesidades del cliente construyendo con
ellos relaciones a largo plazo.

Si tienes gusto por las ventas y contacto con los clientes, entonces esta
posición puede ser para ti.
Como Asesor Comercial Elite serás responsable
de:
              
Realizar la venta directa de tarjetas de crédito y servicio existentes en
nuestro portafolio,
              
Llevar a cabo una efectiva perfilación de clientes con alto poder adquisitivo.
              
Lograr la activación de dichas tarjetas en un periodo máximo de 3 meses a la
fecha de venta.
              
Lograr una facturación por tarjeta de acuerdo a lo establecido por el canal.
              
Seguimiento post-venta.
              
Trabajo 70% Campo 30 % Oficina 
              
Trabajo 90% punto de venta en Aeropuerto y 10% Oficina.
 
La experiencia es importante pero tener una
mente abierta también lo es, si eres hábil para construir relaciones personales,
negociar con todo tipo de clientes , comunicarte de manera efectiva y trabajar
en un ambiente dinámico lleno de cambios y retos entonces ya estás listo para
arrancar tu carrera dentro de American Express.
Qualifications

Requisitos:
              
Gusto por las ventas directas y contacto con los clientes
              
Pasión por ofrecer un servicio de excelencia
              
Excelente seguimiento postventa
              
Extraordinaria habilidad de comunicación
              
Orientado a resultados.
              
Enfoque al cliente 
              
Habilidad para desarrollar relaciones interpersonales a largo plazo y crear una
red de negocios.
              
Adaptabilidad
              
Disponibilidad de tiempo completo.
Compensación:
              
Sueldo base mensual $6000
              
Bono de contratación mensual por curva de aprendizaje $8000
              
Atractivo esquema de comisiones (hasta $120,000 mensuales)
Prestaciones
superiores a las de la ley.
              
Contrato directo con American Express. NO OUTSOURCING
              
Capacitación pagada.
              
Prestaciones de ley 
              
Seguro de gastos médicos mayores para ti y tu familia     
              
Seguro Dental
              
Vales de despensa y restaurante 9% de tu sueldo
              
Seguro de vida
              
Fondo de ahorro
              
Plan de pensiones.
              
Reembolso de medicamentos
              
50% de prima vacacional
              
25 días de aguinaldo.
 
¿Estás listo para comenzar tu carrera en una de
las mejores empresas de México?

¡Aplica ya! 

 ReqID: 19002567Schedule (Full-Time/Part-Time): Full-timeDate Posted: Feb 7, 2019, 3:35:31 PM",American Express,"
 Customer Care
, 
 Operations",EJECUTIVO DE VENTA,"

Mexico City, Mexico",https://jobs.americanexpress.com/jobs/19002567?lang=en-us&previousLocale=en-US
"
Partner with stakeholders to understand the problems they’re trying to solve, and structure analyses to address their business needs. The successful candidate will have excellent business acumen and an ownership mindset. We are not looking for an order taker who will produce data without first understanding the business problem.
Be able to independently extract data out of Big Data technologies, and produce impactful analyses with clear, actionable business insights. You are able to synthesize complex analyses and communicate succinctly with internal and external stakeholders at all levels of the organization.
Have a strong attention to detail, high standards when it comes to data quality, and the ability to discover, cleanse and merge data across disparate data sources. 
Working experience of travel domain, working knowledge of GDS Sabre and travel agencies functions.  
Should have an agile/scrum methodology experience.
 Qualifications
BS in Computer Science, Information Systems or Business Management or similar field is highly desirable or equivalent work experience 
Proven track record (3+ years) leading successful Analytics projects that help drive business and product decisions in a fast paced and complex environment.
Excellent data analytics skills using Big Data technologies such as, Hive SQL, Datameer etc.
Excellent reporting and data visualization skills ideally with Tableau and Excel.  
Excellent communication skills and the ability to effectively communicate complex analyses to internal and external stakeholders at all levels.
Good to have Rally/JIRA experience.
Positive attitude and a team player with a “roll up your sleeves” mindset.
Employment eligibility to work with American Express in the U.S. is required as the company will not pursue visa sponsorship for these positions.ReqID: 19002278Schedule (Full-Time/Part-Time): Full-timeDate Posted: Feb 7, 2019, 3:25:31 PM",American Express,"
 Digital Commerce
, 
 Technology",Associate Product Manager II,"
Multiple 
Phoenix, Arizona; Sunrise, Florida",https://jobs.americanexpress.com/jobs/19002278?lang=en-us&previousLocale=en-US
"  
Why American Express?
There’s a difference between having a job and making a difference.

American Express has been making a difference in people’s lives for over 160 years, backing them in moments big and small, granting access, tools, and resources to take on their biggest challenges and reap the greatest rewards.

We’ve also made a difference in the lives of our people, providing a culture of learning and collaboration, and helping them with what they need to succeed and thrive. We have their backs as they grow their skills, conquer new challenges, or even take time to spend with their family or community. And when they’re ready to take on a new career path, we’re right there with them, giving them the guidance and momentum into the
best future they envision.

Because we believe that the best way to back our customers is to back our people.

The powerful backing of American Express.
Don’t make a difference without it.
Don’t live life without it.
 
Responsible for assisting with activities designed to systematically manage information security, such as security investigations, intelligence, assurance, and awareness, and/or other project oversight, including developing best practices for information security standards and managing IT controls and compliance with regulatory guidance. 
 
Organizational Context Works with technology and business partners across business functions/processes to ensure alignment, understanding and ongoing communication on security controls, compliance and information security risk management. Works individually and with teams on both structured and unstructured assignments. 
 
Key Responsibilities:       

Assists in developing, implementing and monitoring compliance to AXP and Information security policies, standards and procedures, and other policies and standards as appropriate  
Enforces security policies by administering and monitoring profiles, reviewing violation reports and investigating possible exceptions; document controls 
Prepares materials (reports, presentations, spreadsheets, etc) on information security to help develop scenarios, response procedures, and to enable informed decision making; verify completeness, accuracy and relevance of data gathered 
Utilizes tools and documented processes to ensure consistency and optimization of information security processes; work in support of efforts to measure and improve information security processes 
Prepares status reports on information security, or other matters to help develop, track, monitor and report on projects and initiatives 
Consults on controls, processes, and procedures 
Facilitates meetings to gather and document products/services or generic process changes 
Maintains internal documentation library, ensuring that process and other documentation is regularly updated to reflect latest operational processes and requirements 
Provides root cause analysis assistance for incident management or post-implementation efforts 
Provides analytical support as needed for issue management, project assessments, and reporting 
Participates in the evaluation of products and/or procedures to enhance productivity and effectiveness 
Supports the analysis of underlying trends and action plans associated with information security and other domains 
Maintains records to allow for historical trending analysis 
Accountable for ensuring security best practices, policies, and procedures are implemented and adhered to 
  
 

 Qualifications
Bachelor’s Degree in Computer Science, Information Systems, Business Administration, or other related field preferred (or equivalent work experience)
Certification may be required for specific functions
Up to 6 years of information security experience
Experience with gathering functional requirements, deployment of information security tools, and data analysis
In-depth experience with desktop software and office automation tools
High-performing Behaviors:

Analyzes complex information and identifies the most relevant details
Shows personal determination and resilience; is optimistic in changing circumstances
Continually seeks and learns from feedback
 Is clear when explaining ideas and concepts to others - communication is structured, compelling, and impactful, and creates a credible impression
 Involves the right people to ensure the best decisions are made in a timely manner
Challenges the status quo and questions current approaches where appropriate
Continually looks for contingency options and proactively adapts plans and priorities
Takes the initiative to create clarity when changing circumstances cause ambiguity
Translates and interprets AXP business strategies to clarify direction for self and/or team and to gauge impact on current plans
Knowledge/Skills:

Strong work prioritization, planning, and organizational skills
Knowledge or awareness in information security, compliance, assurance, and/or other security best practices and principles.
Passion for learning
Technology Core Competencies:

Adaptive Communication
Agile Practices
Industry and Company Knowledge
Organizational Change Management
Technical Acumen
Technology Industry Trends
Game Changers:

Adaptability
Collaboration & Teamwork
Continuous Improvement
Courage
Curiosity
 Ingenuity
Servant Leadership
Tenacity
Emerging Technologies
System/Platform Domain Knowledge
Business Risk Management
Information Security
Leadership:

Analytical Thinking
Relationship Management
Business Case Development
Regulatory Compliance
Employment eligibility to work with American Express in the U.S. is required as the company will not pursue visa sponsorship for these positions.
ReqID: 19002179Schedule (Full-Time/Part-Time): Full-timeDate Posted: Feb 7, 2019, 3:29:17 PM",American Express,"
 Digital Commerce
, 
 Technology",Information Security Analyst,"
Multiple 
Phoenix, Arizona; United States",https://jobs.americanexpress.com/jobs/19002179?lang=en-us&previousLocale=en-US
